City,Address,Longitude,Latitude,Price,bedrooms,property type,bathrooms,square footage,date built,extra features
WATERLOO,"29 UNIVERSITY AVENUE, WATERLOO, ON N2J2V9",-80.5231893,43.4766335,"$200,000",N/A,N/A,0,N/A,N/A,N/A
KITCHENER,"106 BELMONT AVENUE W, KITCHENER, ON N2M1L4",-80.5063393,43.4386282,"$500,000",3,N/A,2,N/A,N/A,N/A
WATERLOO,"63 MENNO STREET, WATERLOO, ON N2L2A6",-80.5264179,43.4600563,"$2,000,000",4,N/A,3,N/A,N/A,N/A
KITCHENER,"501 - 105 CHURCH STREET, KITCHENER, ON N2G2S3",-80.4896549,43.4480542,"$1,490",1,N/A,1,N/A,N/A,N/A
KITCHENER,"10 - 357 CONNAUGHT STREET, KITCHENER, ON N2C1B9",-80.4466549,43.4286674,"$1,749",2,N/A,1,N/A,N/A,N/A
KITCHENER,"3 - 357 CONNAUGHT STREET, KITCHENER, ON N2C1B9",-80.4466549,43.4286674,"$1,725",2,N/A,1,N/A,N/A,N/A
KITCHENER,"533 WOODFIELD COURT, KITCHENER, ON N2P2S8",-80.4385205,43.3853499,"$1,249,000",4,N/A,4,N/A,N/A,N/A
WATERLOO,"614 ROCK POINT CRESCENT, WATERLOO, ON N2V2K3",-80.5776281,43.4929007,"$1,054,000",0,N/A,1,N/A,N/A,N/A
WATERLOO,"614 ROCK POINT CRESCENT, WATERLOO, ON N2V2K3",-80.5776281,43.4929007,"$1,054,000",3,N/A,4,N/A,N/A,N/A
KITCHENER,"215 - 1000 LACKNER PLACE, KITCHENER, ON N2A0L9",N/A,N/A,"$410,000",1,N/A,1,N/A,N/A,N/A
KITCHENER,"60 FREDERICK STREET UNIT# 2404, KITCHENER, ON N2H0C7",N/A,N/A,"$294,900",1,N/A,1,N/A,N/A,N/A
KITCHENER,"70 CANNES STREET, KITCHENER, ON N2R1V2",-80.4828736,43.385556,"$749,900",4,N/A,3,N/A,N/A,N/A
KITCHENER,"85 DUKE STREET W UNIT# 112, KITCHENER, ON N2H0B7",N/A,N/A,"$349,000",1,N/A,1,N/A,N/A,N/A
KITCHENER,"220 LEMON GRASS CRESCENT, KITCHENER, ON N2N3R7",-80.5562081,43.4370968,"$809,900",3,N/A,3,N/A,N/A,N/A
KITCHENER,"255 MAITLAND STREET UNIT# 3E, KITCHENER, ON N2R1Z2",N/A,N/A,"$459,900",3,N/A,2,N/A,N/A,N/A
KITCHENER,"145 NINTH AVENUE, KITCHENER, ON N2C1T1",-80.4489366,43.4286776,"$698,800",4,N/A,2,N/A,N/A,N/A
WATERLOO,"1105 - 181 KING STREET S, WATERLOO, ON N2J0E7",N/A,N/A,"$419,000",2,N/A,1,N/A,N/A,N/A
WATERLOO,"731 BREAKWATER CRESCENT, WATERLOO, ON N2K4H8",-80.5126254,43.5122847,"$800,000",4,N/A,3,N/A,N/A,N/A
KITCHENER,"15 PRINCE ALBERT BOULEVARD UNIT# 309, KITCHENER, ON N2H0C2",N/A,N/A,"$369,900",2,N/A,1,N/A,N/A,N/A
WATERLOO,"511 QUIET PLACE UNIT# 5, WATERLOO, ON N2L5L6",N/A,N/A,"$449,900",4,N/A,4,N/A,N/A,N/A
KITCHENER,"168 ONEIDA PLACE, KITCHENER, ON N2A3G4",-80.41251,43.4295079,"$725,000",3,N/A,3,N/A,N/A,N/A
KITCHENER,"49 CENTURY HILL DRIVE, KITCHENER, ON N2E2E3",-80.471621,43.4112596,"$699,900",4,N/A,2,N/A,N/A,N/A
KITCHENER,"19 PERKELL PLACE, KITCHENER, ON N2B1J3",-80.4574456,43.4576192,"$500,000",4,N/A,2,N/A,N/A,N/A
KITCHENER,"955 ZELLER CRESCENT, KITCHENER, ON N2A0C9",-80.4094528,43.4535414,"$679,900",3,N/A,2,N/A,N/A,N/A
WATERLOO,"21 SANDCLIFFE PLACE, WATERLOO, ON N2T1A8",-80.5583254,43.449393,"$896,900",4,N/A,3,N/A,N/A,N/A
KITCHENER,"55 DUKE STREET UNIT# 1910, KITCHENER, ON N2H0C9",N/A,N/A,"$429,000",2,N/A,1,N/A,N/A,N/A
KITCHENER,"279 HIGHBROOK CRESCENT, KITCHENER, ON N2E3S6",-80.5022713,43.4103624,"$750,000",3,N/A,4,N/A,N/A,N/A
KITCHENER,"160 ROCHEFORT STREET UNIT# E5, KITCHENER, ON N2R1V5",-80.4766669,43.3861128,"$445,000",2,N/A,2,N/A,N/A,N/A
KITCHENER,"33 MANITOULIN CRESCENT, KITCHENER, ON N2A3J4",-80.4134708,43.4335209,"$950,000",5,N/A,5,N/A,N/A,N/A
CAMBRIDGE,"26 - 470 LINDEN DRIVE, CAMBRIDGE, ON N3H5L5",N/A,N/A,"$689,999",3,N/A,3,N/A,N/A,N/A
KITCHENER,"404 W KING STREET W UNIT# 116, KITCHENER, ON N2G4Z9",N/A,N/A,"$324,900",1,N/A,1,N/A,N/A,N/A
KITCHENER,"138 - 110 FERGUS AVENUE, KITCHENER, ON N2A2H2",N/A,N/A,"$549,000",2,N/A,2,N/A,N/A,N/A
KITCHENER,"85 DUKE STREET W UNIT# 1702, KITCHENER, ON N2H0B7",N/A,N/A,"$480,000",2,N/A,2,N/A,N/A,N/A
KITCHENER,"216 - 55 DUKE STREET W, KITCHENER, ON N2H0C9",-80.4953237,43.4534126,"$389,999",2,N/A,1,N/A,N/A,N/A
KITCHENER,"12 HOLBORN DRIVE UNIT# E33, KITCHENER, ON N2A0A4",N/A,N/A,"$390,000",3,N/A,1,N/A,N/A,N/A
KITCHENER,"135 MADISON AVENUE S, KITCHENER, ON N2G3M4",-80.4850382,43.4431378,"$475,000",3,N/A,1,N/A,N/A,N/A
WATERLOO,"128 KING STREET N UNIT# 807, WATERLOO, ON N2J0E9",N/A,N/A,"$374,999",2,N/A,1,N/A,N/A,N/A
WATERLOO,"140 OAK PARK DRIVE, WATERLOO, ON N2K0B3",-80.496848,43.5205941,"$874,900",3,N/A,4,N/A,N/A,N/A
KITCHENER,"24 MIDLAND DRIVE UNIT# 609, KITCHENER, ON N2A2A8",N/A,N/A,"$395,900",2,N/A,1,N/A,N/A,N/A
KITCHENER,"741 KING STREET UNIT# 1811, KITCHENER, ON N2G0E9",N/A,N/A,"$298,000",0,N/A,1,N/A,N/A,N/A
KITCHENER,"3267 KING STREET E UNIT# 508, KITCHENER, ON N2A4A4",N/A,N/A,"$369,900",2,N/A,2,N/A,N/A,N/A
KITCHENER,"36 - 2705 KINGSWAY DRIVE, KITCHENER, ON N2C2T2",N/A,N/A,"$550,000",2,N/A,2,N/A,N/A,N/A
KITCHENER,"204 BENNINGER DRIVE, KITCHENER, ON N2E0E9",-80.536844,43.4073803,"$1,136,900",5,N/A,4,N/A,N/A,N/A
KITCHENER,"56 LILAC STREET, KITCHENER, ON N2G3A8",-80.475814,43.435272,"$949,900",6,N/A,4,N/A,N/A,N/A
KITCHENER,"208 BENNINGER DRIVE, KITCHENER, ON N2E0E9",-80.536844,43.4073803,"$1,136,900",5,N/A,4,N/A,N/A,N/A
KITCHENER,"75 WAGON STREET, KITCHENER, ON N2P2V2",-80.4022147,43.4111247,"$1,450,000",4,N/A,4,N/A,N/A,N/A
KITCHENER,"916 VERONICA COURT, KITCHENER, ON N2A4G4",-80.427724,43.4387095,"$740,000",3,N/A,2,N/A,N/A,N/A
KITCHENER,"15 WELLINGTON STREET S UNIT# 1810, KITCHENER, ON N2G0E4",N/A,N/A,"$369,999",2,N/A,1,N/A,N/A,N/A
KITCHENER,"361 SIENNA CRESCENT, KITCHENER, ON N2R1T8",-80.4866382,43.3852153,"$875,000",3,N/A,2,N/A,N/A,N/A
BADEN,"338 SNYDERS ROAD E, BADEN, ON N3A2V5",N/A,N/A,"$1,299,900",4,N/A,4,N/A,N/A,N/A
